"activity_date","registration_date","active_users_count"
"2019-06-01","2019-06-01","1651"
"2019-06-02","2019-06-01","1429"
"2019-06-02","2019-06-02","1933"
"2019-06-03","2019-06-01","1021"
"2019-06-03","2019-06-02","1550"
"2019-06-03","2019-06-03","1432"
"2019-06-04","2019-06-01","849"
"2019-06-04","2019-06-02","1163"
"2019-06-04","2019-06-03","1244"
"2019-06-04","2019-06-04","1473"
"2019-06-05","2019-06-01","694"
"2019-06-05","2019-06-02","989"
"2019-06-05","2019-06-03","871"
"2019-06-05","2019-06-04","1245"
"2019-06-05","2019-06-05","1349"
"2019-06-06","2019-06-01","652"
"2019-06-06","2019-06-02","863"
"2019-06-06","2019-06-03","727"
"2019-06-06","2019-06-04","964"
"2019-06-06","2019-06-05","1221"
"2019-06-06","2019-06-06","1418"
"2019-06-07","2019-06-01","588"
"2019-06-07","2019-06-02","765"
"2019-06-07","2019-06-03","632"
"2019-06-07","2019-06-04","755"
"2019-06-07","2019-06-05","892"
"2019-06-07","2019-06-06","1198"
"2019-06-07","2019-06-07","1180"
"2019-06-08","2019-06-01","545"
"2019-06-08","2019-06-02","688"
"2019-06-08","2019-06-03","516"
"2019-06-08","2019-06-04","619"
"2019-06-08","2019-06-05","689"
"2019-06-08","2019-06-06","816"
"2019-06-08","2019-06-07","938"
"2019-06-08","2019-06-08","1081"
"2019-06-09","2019-06-01","536"
"2019-06-09","2019-06-02","683"
"2019-06-09","2019-06-03","495"
"2019-06-09","2019-06-04","558"
"2019-06-09","2019-06-05","589"
"2019-06-09","2019-06-06","699"
"2019-06-09","2019-06-07","698"
"2019-06-09","2019-06-08","986"
"2019-06-09","2019-06-09","1632"
"2019-06-10","2019-06-01","483"
"2019-06-10","2019-06-02","639"
"2019-06-10","2019-06-03","484"
"2019-06-10","2019-06-04","569"
"2019-06-10","2019-06-05","562"
"2019-06-10","2019-06-06","662"
"2019-06-10","2019-06-07","606"
"2019-06-10","2019-06-08","751"
"2019-06-10","2019-06-09","1443"
"2019-06-10","2019-06-10","1406"
"2019-06-11","2019-06-01","460"
"2019-06-11","2019-06-02","576"
"2019-06-11","2019-06-03","467"
"2019-06-11","2019-06-04","511"
"2019-06-11","2019-06-05","527"
"2019-06-11","2019-06-06","553"
"2019-06-11","2019-06-07","545"
"2019-06-11","2019-06-08","611"
"2019-06-11","2019-06-09","1053"
"2019-06-11","2019-06-10","1220"
"2019-06-11","2019-06-11","1310"
"2019-06-12","2019-06-01","423"
"2019-06-12","2019-06-02","545"
"2019-06-12","2019-06-03","416"
"2019-06-12","2019-06-04","447"
"2019-06-12","2019-06-05","472"
"2019-06-12","2019-06-06","512"
"2019-06-12","2019-06-07","469"
"2019-06-12","2019-06-08","536"
"2019-06-12","2019-06-09","864"
"2019-06-12","2019-06-10","866"
"2019-06-12","2019-06-11","1152"
"2019-06-12","2019-06-12","1403"
"2019-06-13","2019-06-01","400"
"2019-06-13","2019-06-02","477"
"2019-06-13","2019-06-03","394"
"2019-06-13","2019-06-04","412"
"2019-06-13","2019-06-05","433"
"2019-06-13","2019-06-06","460"
"2019-06-13","2019-06-07","413"
"2019-06-13","2019-06-08","467"
"2019-06-13","2019-06-09","744"
"2019-06-13","2019-06-10","756"
"2019-06-13","2019-06-11","862"
"2019-06-13","2019-06-12","1168"
"2019-06-13","2019-06-13","1226"
"2019-06-14","2019-06-01","383"
"2019-06-14","2019-06-02","483"
"2019-06-14","2019-06-03","361"
"2019-06-14","2019-06-04","378"
"2019-06-14","2019-06-05","391"
"2019-06-14","2019-06-06","428"
"2019-06-14","2019-06-07","385"
"2019-06-14","2019-06-08","433"
"2019-06-14","2019-06-09","671"
"2019-06-14","2019-06-10","656"
"2019-06-14","2019-06-11","734"
"2019-06-14","2019-06-12","901"
"2019-06-14","2019-06-13","1088"
"2019-06-14","2019-06-14","1101"
"2019-06-15","2019-06-01","378"
"2019-06-15","2019-06-02","471"
"2019-06-15","2019-06-03","356"
"2019-06-15","2019-06-04","368"
"2019-06-15","2019-06-05","377"
"2019-06-15","2019-06-06","385"
"2019-06-15","2019-06-07","346"
"2019-06-15","2019-06-08","424"
"2019-06-15","2019-06-09","645"
"2019-06-15","2019-06-10","575"
"2019-06-15","2019-06-11","626"
"2019-06-15","2019-06-12","749"
"2019-06-15","2019-06-13","809"
"2019-06-15","2019-06-14","965"
"2019-06-15","2019-06-15","1244"
"2019-06-16","2019-06-01","355"
"2019-06-16","2019-06-02","470"
"2019-06-16","2019-06-03","325"
"2019-06-16","2019-06-04","335"
"2019-06-16","2019-06-05","356"
"2019-06-16","2019-06-06","376"
"2019-06-16","2019-06-07","338"
"2019-06-16","2019-06-08","380"
"2019-06-16","2019-06-09","610"
"2019-06-16","2019-06-10","550"
"2019-06-16","2019-06-11","582"
"2019-06-16","2019-06-12","661"
