"date","registration_date","users_count_with_revenue","revenue"
"2019-06-01","2019-06-01","1082","1611.8629"
"2019-06-02","2019-06-01","928","317.73767"
"2019-06-02","2019-06-02","1257","1305.2172"
"2019-06-03","2019-06-01","623","192.2731"
"2019-06-03","2019-06-02","1008","554.85913"
"2019-06-03","2019-06-03","905","1026.9128"
"2019-06-04","2019-06-01","585","76.81263"
"2019-06-04","2019-06-02","755","248.20834"
"2019-06-04","2019-06-03","802","302.55664"
"2019-06-04","2019-06-04","940","839.79395"
"2019-06-05","2019-06-01","455","39.35935"
"2019-06-05","2019-06-02","635","125.08687"
"2019-06-05","2019-06-03","544","37.955044"
"2019-06-05","2019-06-04","811","349.4037"
"2019-06-05","2019-06-05","885","915.1972"
"2019-06-06","2019-06-01","433","140.80591"
"2019-06-06","2019-06-02","584","45.338657"
"2019-06-06","2019-06-03","472","91.91516"
"2019-06-06","2019-06-04","651","150.74034"
"2019-06-06","2019-06-05","796","65.9184"
"2019-06-06","2019-06-06","942","1225.6207"
"2019-06-07","2019-06-01","388","403.85324"
"2019-06-07","2019-06-02","501","163.2518"
"2019-06-07","2019-06-03","410","58.82103"
"2019-06-07","2019-06-04","486","188.55164"
"2019-06-07","2019-06-05","612","467.5845"
"2019-06-07","2019-06-06","776","187.14589"
"2019-06-07","2019-06-07","792","576.2399"
"2019-06-08","2019-06-01","365","176.31563"
"2019-06-08","2019-06-02","457","57.680916"
"2019-06-08","2019-06-03","331","225.76584"
"2019-06-08","2019-06-04","376","128.57666"
"2019-06-08","2019-06-05","466","113.17588"
"2019-06-08","2019-06-06","529","241.35736"
"2019-06-08","2019-06-07","614","412.6369"
"2019-06-08","2019-06-08","700","706.57275"
"2019-06-09","2019-06-02","461","193.83919"
"2019-06-09","2019-06-03","303","36.981598"
"2019-06-09","2019-06-04","364","174.70746"
"2019-06-09","2019-06-05","394","118.167984"
"2019-06-09","2019-06-06","455","256.7904"
"2019-06-09","2019-06-07","425","193.32462"
"2019-06-09","2019-06-08","662","409.65668"
"2019-06-09","2019-06-09","1068","1485.3783"
"2019-06-10","2019-06-01","328","29.640572"
"2019-06-10","2019-06-02","419","48.84983"
"2019-06-10","2019-06-03","320","27.75479"
"2019-06-10","2019-06-04","360","111.73254"
"2019-06-10","2019-06-05","377","2.0019827"
"2019-06-10","2019-06-06","417","127.63297"
"2019-06-10","2019-06-07","399","116.433624"
"2019-06-10","2019-06-08","501","144.41025"
"2019-06-10","2019-06-09","909","269.35013"
"2019-06-10","2019-06-10","925","1213.092"
"2019-06-11","2019-06-01","289","7.0141697"
"2019-06-11","2019-06-02","372","124.279755"
"2019-06-11","2019-06-03","293","28.041084"
"2019-06-11","2019-06-04","320","54.961"
"2019-06-11","2019-06-05","349","34.871887"
"2019-06-11","2019-06-06","363","32.728592"
"2019-06-11","2019-06-07","342","99.69063"
"2019-06-11","2019-06-08","418","164.0687"
"2019-06-11","2019-06-09","685","218.62064"
"2019-06-11","2019-06-10","802","421.70526"
"2019-06-11","2019-06-11","856","531.6989"
"2019-06-12","2019-06-01","272","58.959637"
"2019-06-12","2019-06-02","347","29.074127"
