"user_id","start_time","amount","id"
67986,"2018-11-17 13:18:35",50,20103
58528,"2018-06-23 23:24:43",100,19351
61351,"2018-08-08 09:40:36",100,19565
48037,"2018-01-10 13:08:34",50,18470
67987,"2018-11-13 22:51:38",100,20087
51206,"2018-02-28 19:48:16",100,18720
65863,"2018-10-16 09:09:58",25,19928
61608,"2018-08-07 11:59:59",50,19561
63035,"2018-09-01 09:19:48",100,19662
57360,"2018-05-28 19:05:38",50,19209
64031,"2018-09-14 13:16:48",150,19734
53826,"2018-04-06 07:46:59",100,18918
50802,"2018-02-20 17:41:44",100,18680
69779,"2018-12-05 15:06:17",200,20216
47887,"2018-01-06 21:07:09",150,18453
61419,"2018-08-02 06:25:12",50,19533
68243,"2018-11-23 23:05:58",100,20128
65019,"2018-10-02 07:39:11",50,19844
67759,"2018-11-13 11:15:24",50,20085
71030,"2018-12-22 08:19:29",100,20329
47790,"2018-01-11 05:26:53",150,18474
69621,"2018-12-06 10:43:44",150,20224
63348,"2018-09-05 09:34:29",100,19677
71715,"2018-12-28 09:00:34",150,20371
58011,"2018-06-15 20:19:39",50,19301
62536,"2018-08-23 18:52:28",150,19618
56057,"2018-05-16 10:47:53",100,19135
48393,"2018-01-19 18:33:20",50,18521
70026,"2018-12-07 10:14:36",150,20230
70895,"2018-12-17 02:26:54",50,20298
71203,"2018-12-22 05:08:25",50,20326
65413,"2018-10-08 07:29:49",150,19879
55522,"2018-05-03 10:55:18",50,19060
54419,"2018-04-20 14:29:13",25,18986
64572,"2018-09-21 17:47:40",50,19777
57722,"2018-06-08 22:07:25",50,19264
54956,"2018-04-29 13:17:30",150,19038
62347,"2018-08-21 17:18:00",200,19613
58001,"2018-06-12 03:37:20",100,19280
68111,"2018-11-15 06:26:40",150,20091
68783,"2018-11-25 23:31:41",300,20141
56325,"2018-05-17 10:25:23",50,19142
72159,"2019-01-08 00:58:57",100,20427
62037,"2018-08-18 20:09:05",100,19608
61221,"2018-08-03 20:44:59",150,19539
62558,"2018-08-25 17:25:16",50,19624
64301,"2018-09-23 23:57:20",50,19796
63115,"2018-09-04 13:36:30",100,19673
64167,"2018-09-16 20:59:00",50,19748
62016,"2018-08-15 04:52:51",100,19593
60545,"2018-07-23 00:14:14",150,19484
69573,"2018-12-04 06:37:08",25,20209
63396,"2018-09-06 12:01:48",50,19686
70395,"2018-12-12 03:22:23",50,20266
52144,"2018-03-15 10:31:29",50,18795
57337,"2018-05-30 10:34:29",100,19224
64663,"2018-09-27 15:38:56",50,19816
65541,"2018-10-13 08:01:49",50,19915
48351,"2018-01-14 12:07:21",50,18489
50717,"2018-02-22 08:02:43",50,18692
70679,"2018-12-16 03:51:02",100,20293
54859,"2018-04-26 23:29:48",50,19026
52266,"2018-03-17 16:18:59",25,18806
50960,"2018-02-23 19:43:24",150,18698
58841,"2018-06-26 14:38:44",25,19363
58960,"2018-06-23 13:32:58",50,19347
68505,"2018-11-25 03:37:36",100,20134
47982,"2018-01-09 00:10:37",150,18464
56660,"2018-05-23 11:03:10",50,19175
49671,"2018-02-09 18:21:54",50,18625
54809,"2018-04-23 09:13:52",250,19006
71889,"2018-12-30 05:28:11",100,20383
52037,"2018-03-16 15:13:51",200,18800
58963,"2018-06-29 17:11:43",50,19376
52896,"2018-03-25 08:28:19",100,18856
62677,"2018-08-30 20:37:08",200,19652
59920,"2018-07-08 07:24:53",100,19414
62661,"2018-08-27 01:39:48",150,19628
51071,"2018-02-27 17:37:02",50,18716
50553,"2018-02-15 13:31:53",150,18655
67132,"2018-10-31 06:14:37",150,20011
52660,"2018-03-20 12:25:14",50,18824
55216,"2018-05-04 22:08:21",50,19069
47828,"2018-01-04 12:51:37",200,18447
63669,"2018-09-11 08:21:23",150,19723
70331,"2018-12-09 14:03:54",50,20249
60438,"2018-07-19 06:00:51",200,19470
55314,"2018-04-27 05:48:11",250,19029
58112,"2018-06-09 16:06:22",50,19269
59918,"2018-07-12 04:37:36",100,19436
65754,"2018-10-12 23:30:32",100,19914
71719,"2018-12-30 08:19:14",100,20384
68389,"2018-11-24 04:10:04",50,20131
55462,"2018-04-30 14:30:02",100,19042
61222,"2018-08-02 04:18:57",50,19532
69628,"2018-12-01 17:14:32",50,20188
53041,"2018-03-27 10:47:03",25,18863
54891,"2018-04-23 14:35:27",150,19007
62875,"2018-09-01 08:36:53",100,19661
67073,"2018-11-02 09:27:53",150,20021
69017,"2018-12-01 00:51:00",150,20180
54322,"2018-04-15 03:37:05",50,18956
72107,"2019-01-02 12:50:39",150,20400
63803,"2018-09-20 17:31:42",100,19769
53552,"2018-04-01 23:46:29",50,18895
54831,"2018-04-20 06:24:05",150,18985
51611,"2018-03-05 20:37:15",50,18738
70796,"2018-12-19 12:31:32",200,20308
68832,"2018-11-28 13:51:41",100,20155
55737,"2018-05-06 16:18:24",200,19074
72188,"2019-01-02 01:46:01",100,20396
